domain_pair	domain_1	domain_2	domain_desc_1	domain_desc_2	absolute_number	freq
HBB--Helicase_C_2	HBB	Helicase_C_2	Helicalandbeta-bridgedomain	HelicaseC-terminaldomain	1	4.94878012569901e-05
ERCC3_RAD25_C--Helicase_C_3	ERCC3_RAD25_C	Helicase_C_3	ERCC3/RAD25/XPBC-terminalhelicase	HelicaseconservedC-terminaldomain	1	4.94878012569901e-05
AAA_34--Helicase_C_4	AAA_34	Helicase_C_4	P-loopcontainingNTPhydrolasepore-1	C-terminaldomainonStrawberrynotchhomologue	2	9.89756025139803e-05
DUF1726--Helicase_RecD	DUF1726	Helicase_RecD	Domainofunknownfunction(DUF1726)	Helicase	1	4.94878012569901e-05
GNAT_acetyltr_2--Helicase_RecD	GNAT_acetyltr_2	Helicase_RecD	GNATacetyltransferase2	Helicase	1	4.94878012569901e-05
F-box-like--Hemerythrin	F-box-like	Hemerythrin	F-box-like	HemerythrinHHEcationbindingdomain	1	4.94878012569901e-05
DUF3377--Hemopexin	DUF3377	Hemopexin	Domainofunknownfunction(DUF3377)	Hemopexin	4	0.000197951205027961
Hemopexin--Hemopexin	Hemopexin	Hemopexin	Hemopexin	Hemopexin	22	0.00108873162765378
fn2--Hemopexin	fn2	Hemopexin	FibronectintypeIIdomain	Hemopexin	2	9.89756025139803e-05
Hexokinase_1--Hexokinase_1	Hexokinase_1	Hexokinase_1	Hexokinase	Hexokinase	4	0.000197951205027961
Hexokinase_1--Hexokinase_2	Hexokinase_1	Hexokinase_2	Hexokinase	Hexokinase	5	0.000247439006284951
Hexokinase_2--Hexokinase_2	Hexokinase_2	Hexokinase_2	Hexokinase	Hexokinase	4	0.000197951205027961
HHH--HhH-GPD	HHH	HhH-GPD	Helix-hairpin-helixmotif	HhH-GPDsuperfamilybaseexcisionDNArepairprotein	2	9.89756025139803e-05
HH_signal--Hint	HH_signal	Hint	Hedgehogamino-terminalsignallingdomain	Hintmodule	3	0.00014846340377097
6PF2K--His_Phos_1	6PF2K	His_Phos_1	6-phosphofructo-2-kinase	Histidinephosphatasesuperfamily(branch1)	4	0.000197951205027961
His_Phos_1--His_Phos_1	His_Phos_1	His_Phos_1	Histidinephosphatasesuperfamily(branch1)	Histidinephosphatasesuperfamily(branch1)	5	0.000247439006284951
His_Phos_2--His_Phos_2	His_Phos_2	His_Phos_2	Histidinephosphatasesuperfamily(branch2)	Histidinephosphatasesuperfamily(branch2)	2	9.89756025139803e-05
HDAC4_Gln--Hist_deacetyl	HDAC4_Gln	Hist_deacetyl	GlutaminerichNterminaldomainofhistonedeacetylase4	Histonedeacetylasedomain	3	0.00014846340377097
Hist_deacetyl--Hist_deacetyl	Hist_deacetyl	Hist_deacetyl	Histonedeacetylasedomain	Histonedeacetylasedomain	1	4.94878012569901e-05
Hist_rich_Ca-bd--Hist_rich_Ca-bd	Hist_rich_Ca-bd	Hist_rich_Ca-bd	Histidine-richCalcium-bindingrepeatregion	Histidine-richCalcium-bindingrepeatregion	1	4.94878012569901e-05
Histone--Histone	Histone	Histone	CorehistoneH2A/H2B/H3/H4	CorehistoneH2A/H2B/H3/H4	1	4.94878012569901e-05
Histone--Histone_H2A_C	Histone	Histone_H2A_C	CorehistoneH2A/H2B/H3/H4	C-terminusofhistoneH2A	24	0.00118770723016776
CUT--Homeobox	CUT	Homeobox	CUTdomain	Homeodomain	7	0.000346414608798931
CUTL--Homeobox	CUTL	Homeobox	CUT1-likeDNA-bindingdomainofSATB	Homeodomain	2	9.89756025139803e-05
Caudal_act--Homeobox	Caudal_act	Homeobox	Caudallikeproteinactivationregion	Homeodomain	3	0.00014846340377097
DLL_N--Homeobox	DLL_N	Homeobox	Homeoboxproteindistal-less-likeNterminal	Homeodomain	3	0.00014846340377097
DUF3528--Homeobox	DUF3528	Homeobox	Proteinofunknownfunction(DUF3528)	Homeodomain	3	0.00014846340377097
DUF4074--Homeobox	DUF4074	Homeobox	Domainofunknownfunction(DUF4074)	Homeodomain	3	0.00014846340377097
Engrail_1_C_sig--Homeobox	Engrail_1_C_sig	Homeobox	EngrailedhomeoboxC-terminalsignaturedomain	Homeodomain	2	9.89756025139803e-05
HNF-1A_C--Homeobox	HNF-1A_C	Homeobox	Hepatocytenuclearfactor1(HNF-1),alphaisoformCterminus	Homeodomain	1	4.94878012569901e-05
HNF-1B_C--Homeobox	HNF-1B_C	Homeobox	Hepatocytenuclearfactor1(HNF-1),betaisoformCterminus	Homeodomain	2	9.89756025139803e-05
HNF-1_N--Homeobox	HNF-1_N	Homeobox	Hepatocytenuclearfactor1(HNF-1),Nterminus	Homeodomain	3	0.00014846340377097
Homeobox--Homeobox	Homeobox	Homeobox	Homeodomain	Homeodomain	9	0.000445390211312911
Homeobox--Homez	Homeobox	Homez	Homeodomain	Homeodomainleucine-zipperencoding,Homez	2	9.89756025139803e-05
Homeobox_KN--Homez	Homeobox_KN	Homez	HomeoboxKNdomain	Homeodomainleucine-zipperencoding,Homez	1	4.94878012569901e-05
Hormone_1--Hormone_1	Hormone_1	Hormone_1	Somatotropinhormonefamily	Somatotropinhormonefamily	2	9.89756025139803e-05
Hormone_2--Hormone_2	Hormone_2	Hormone_2	Peptidehormone	Peptidehormone	3	0.00014846340377097
Hormone_4--Hormone_5	Hormone_4	Hormone_5	Neurohypophysialhormones,N-terminalDomain	Neurohypophysialhormones,C-terminalDomain	2	9.89756025139803e-05
Androgen_recep--Hormone_recep	Androgen_recep	Hormone_recep	Androgenreceptor	Ligand-bindingdomainofnuclearhormonereceptor	1	4.94878012569901e-05
ERbeta_N--Hormone_recep	ERbeta_N	Hormone_recep	Estrogenreceptorbeta	Ligand-bindingdomainofnuclearhormonereceptor	1	4.94878012569901e-05
ESR1_C--Hormone_recep	ESR1_C	Hormone_recep	Oestrogen-typenuclearreceptorfinalC-terminal	Ligand-bindingdomainofnuclearhormonereceptor	1	4.94878012569901e-05
GCR--Hormone_recep	GCR	Hormone_recep	Glucocorticoidreceptor	Ligand-bindingdomainofnuclearhormonereceptor	1	4.94878012569901e-05
Hormone_recep--Hormone_recep	Hormone_recep	Hormone_recep	Ligand-bindingdomainofnuclearhormonereceptor	Ligand-bindingdomainofnuclearhormonereceptor	1	4.94878012569901e-05
Homeobox--Hox9_act	Homeobox	Hox9_act	Homeodomain	Hox9activationregion	4	0.000197951205027961
Homeobox--HoxA13_N	Homeobox	HoxA13_N	Homeodomain	HoxproteinA13Nterminal	4	0.000197951205027961
HpcH_HpaI--HpcH_HpaI	HpcH_HpaI	HpcH_HpaI	HpcH/HpaIaldolase/citratelyasefamily	HpcH/HpaIaldolase/citratelyasefamily	1	4.94878012569901e-05
FYVE--Hrs_helical	FYVE	Hrs_helical	FYVEzincfinger	Hepatocytegrowthfactor-regulatedtyrosinekinasesubstrate	1	4.94878012569901e-05
Hyd_WA--Hyd_WA	Hyd_WA	Hyd_WA	Propeller	Propeller	2	9.89756025139803e-05
Hydant_A_N--Hydantoinase_A	Hydant_A_N	Hydantoinase_A	Hydantoinase/oxoprolinaseN-terminalregion	Hydantoinase/oxoprolinase	1	4.94878012569901e-05
Hydant_A_N--Hydantoinase_B	Hydant_A_N	Hydantoinase_B	Hydantoinase/oxoprolinaseN-terminalregion	HydantoinaseB/oxoprolinase	1	4.94878012569901e-05
Hydantoinase_A--Hydantoinase_B	Hydantoinase_A	Hydantoinase_B	Hydantoinase/oxoprolinase	HydantoinaseB/oxoprolinase	1	4.94878012569901e-05
ATP_Ca_trans_C--Hydrolase	ATP_Ca_trans_C	Hydrolase	PlasmamembranecalciumtransporterATPaseCterminal	haloaciddehalogenase-likehydrolase	2	9.89756025139803e-05
Cation_ATPase--Hydrolase	Cation_ATPase	Hydrolase	CationtransportATPase(P-type)	haloaciddehalogenase-likehydrolase	5	0.000247439006284951
Cation_ATPase_C--Hydrolase	Cation_ATPase_C	Hydrolase	CationtransportingATPase,C-terminus	haloaciddehalogenase-likehydrolase	7	0.000346414608798931
Cation_ATPase_N--Hydrolase	Cation_ATPase_N	Hydrolase	Cationtransporter/ATPase,N-terminus	haloaciddehalogenase-likehydrolase	9	0.000445390211312911
E1-E2_ATPase--Hydrolase	E1-E2_ATPase	Hydrolase	E1-E2ATPase	haloaciddehalogenase-likehydrolase	14	0.000692829217597862
HMA--Hydrolase	HMA	Hydrolase	Heavy-metal-associateddomain	haloaciddehalogenase-likehydrolase	2	9.89756025139803e-05
ATP_Ca_trans_C--Hydrolase_3	ATP_Ca_trans_C	Hydrolase_3	PlasmamembranecalciumtransporterATPaseCterminal	haloaciddehalogenase-likehydrolase	2	9.89756025139803e-05
Cation_ATPase--Hydrolase_3	Cation_ATPase	Hydrolase_3	CationtransportATPase(P-type)	haloaciddehalogenase-likehydrolase	5	0.000247439006284951
Cation_ATPase_C--Hydrolase_3	Cation_ATPase_C	Hydrolase_3	CationtransportingATPase,C-terminus	haloaciddehalogenase-likehydrolase	5	0.000247439006284951
Cation_ATPase_N--Hydrolase_3	Cation_ATPase_N	Hydrolase_3	Cationtransporter/ATPase,N-terminus	haloaciddehalogenase-likehydrolase	5	0.000247439006284951
E1-E2_ATPase--Hydrolase_3	E1-E2_ATPase	Hydrolase_3	E1-E2ATPase	haloaciddehalogenase-likehydrolase	5	0.000247439006284951
Hydrolase_4--Hydrolase_4	Hydrolase_4	Hydrolase_4	Serineaminopeptidase,S33	Serineaminopeptidase,S33	1	4.94878012569901e-05
Hydrolase_6--Hydrolase_like	Hydrolase_6	Hydrolase_like	Haloaciddehalogenase-likehydrolase	HAD-hyrolase-like	4	0.000197951205027961
23ISL--I-set	23ISL	I-set	UnstructuredlinkerbetweenI-setdomains2and3onMYLCK	ImmunoglobulinI-setdomain	1	4.94878012569901e-05
7tm_2--I-set	7tm_2	I-set	7transmembranereceptor(Secretinfamily)	ImmunoglobulinI-setdomain	1	4.94878012569901e-05
ADAM_spacer1--I-set	ADAM_spacer1	I-set	ADAM-TSSpacer1	ImmunoglobulinI-setdomain	1	4.94878012569901e-05
Alpha_kinase--I-set	Alpha_kinase	I-set	Alpha-kinasefamily	ImmunoglobulinI-setdomain	2	9.89756025139803e-05
An_peroxidase--I-set	An_peroxidase	I-set	Animalhaemperoxidase	ImmunoglobulinI-setdomain	2	9.89756025139803e-05
Bravo_FIGEY--I-set	Bravo_FIGEY	I-set	Bravo-likeintracellularregion	ImmunoglobulinI-setdomain	4	0.000197951205027961
C2-set--I-set	C2-set	I-set	ImmunoglobulinC2-setdomain	ImmunoglobulinI-setdomain	1	4.94878012569901e-05
C2-set_2--I-set	C2-set_2	I-set	CD80-likeC2-setimmunoglobulindomain	ImmunoglobulinI-setdomain	4	0.000197951205027961
CRAL_TRIO--I-set	CRAL_TRIO	I-set	CRAL/TRIOdomain	ImmunoglobulinI-setdomain	2	9.89756025139803e-05
Death--I-set	Death	I-set	Deathdomain	ImmunoglobulinI-setdomain	4	0.000197951205027961
EGF--I-set	EGF	I-set	EGF-likedomain	ImmunoglobulinI-setdomain	2	9.89756025139803e-05
EGF_CA--I-set	EGF_CA	I-set	Calcium-bindingEGFdomain	ImmunoglobulinI-setdomain	2	9.89756025139803e-05
Fz--I-set	Fz	I-set	Fzdomain	ImmunoglobulinI-setdomain	3	0.00014846340377097
G2F--I-set	G2F	I-set	G2Fdomain	ImmunoglobulinI-setdomain	2	9.89756025139803e-05
GPS--I-set	GPS	I-set	GPCRproteolysissite,GPS,motif	ImmunoglobulinI-setdomain	1	4.94878012569901e-05
I-set--I-set	I-set	I-set	ImmunoglobulinI-setdomain	ImmunoglobulinI-setdomain	70	0.00346414608798931
cEGF--I-set	cEGF	I-set	ComplementClr-likeEGF-like	ImmunoglobulinI-setdomain	2	9.89756025139803e-05
fn3--I-set	fn3	I-set	FibronectintypeIIIdomain	ImmunoglobulinI-setdomain	53	0.00262285346662048
Arm--IBB	Arm	IBB	Armadillo/beta-catenin-likerepeat	Importinbetabindingdomain	7	0.000346414608798931
Arm_3--IBB	Arm_3	IBB	AtypicalArmrepeat	Importinbetabindingdomain	7	0.000346414608798931
CAS_CSE1--IBN_N	CAS_CSE1	IBN_N	CAS/CSEprotein,C-terminus	Importin-betaN-terminaldomain	1	4.94878012569901e-05
CRM1_C--IBN_N	CRM1_C	IBN_N	CRM1Cterminal	Importin-betaN-terminaldomain	1	4.94878012569901e-05
Cse1--IBN_N	Cse1	IBN_N	Cse1	Importin-betaN-terminaldomain	3	0.00014846340377097
HEAT--IBN_N	HEAT	IBN_N	HEATrepeat	Importin-betaN-terminaldomain	1	4.94878012569901e-05
HEAT_EZ--IBN_N	HEAT_EZ	IBN_N	HEAT-likerepeat	Importin-betaN-terminaldomain	3	0.00014846340377097
ANAPC10--IBR	ANAPC10	IBR	Anaphase-promotingcomplex,subunit10(APC10)	IBRdomain,ahalfRING-fingerdomain	1	4.94878012569901e-05
Ank--IBR	Ank	IBR	Ankyrinrepeat	IBRdomain,ahalfRING-fingerdomain	1	4.94878012569901e-05
Cul7--IBR	Cul7	IBR	MousedevelopmentandcellularproliferationproteinCullin-7	IBRdomain,ahalfRING-fingerdomain	1	4.94878012569901e-05
Cullin--IBR	Cullin	IBR	Cullinfamily	IBRdomain,ahalfRING-fingerdomain	1	4.94878012569901e-05
Cullin_Nedd8--IBR	Cullin_Nedd8	IBR	Cullinproteinneddylationdomain	IBRdomain,ahalfRING-fingerdomain	1	4.94878012569901e-05
HOIP-UBA--IBR	HOIP-UBA	IBR	HOIPUBAdomainpair	IBRdomain,ahalfRING-fingerdomain	2	9.89756025139803e-05
IBR--IBR	IBR	IBR	IBRdomain,ahalfRING-fingerdomain	IBRdomain,ahalfRING-fingerdomain	11	0.000544365813826892
Arfaptin--ICA69	Arfaptin	ICA69	Arfaptin-likedomain	IsletcellautoantigenICA69,C-terminaldomain	2	9.89756025139803e-05
ICA69--ICA69	ICA69	ICA69	IsletcellautoantigenICA69,C-terminaldomain	IsletcellautoantigenICA69,C-terminaldomain	1	4.94878012569901e-05
IER--IER	IER	IER	Immediateearlyresponseprotein(IER)	Immediateearlyresponseprotein(IER)	1	4.94878012569901e-05
GTP_EFTU--IF-2	GTP_EFTU	IF-2	ElongationfactorTuGTPbindingdomain	Translation-initiationfactor2	2	9.89756025139803e-05
GTP_EFTU_D2--IF-2	GTP_EFTU_D2	IF-2	ElongationfactorTudomain2	Translation-initiationfactor2	1	4.94878012569901e-05
IF-2B--IF-2B	IF-2B	IF-2B	Initiationfactor2subunitfamily	Initiationfactor2subunitfamily	1	4.94878012569901e-05
IF3_C--IF3_N	IF3_C	IF3_N	TranslationinitiationfactorIF-3,C-terminaldomain	TranslationinitiationfactorIF-3,N-terminaldomain	1	4.94878012569901e-05
IFRD--IFRD_C	IFRD	IFRD_C	Interferon-relateddevelopmentalregulator(IFRD)	Interferon-relatedproteinconservedregion	2	9.89756025139803e-05
Antistasin--IGFBP	Antistasin	IGFBP	Antistasinfamily	Insulin-likegrowthfactorbindingprotein	1	4.94878012569901e-05
Cys_knot--IGFBP	Cys_knot	IGFBP	Cystine-knotdomain	Insulin-likegrowthfactorbindingprotein	5	0.000247439006284951
I-set--IGFBP	I-set	IGFBP	ImmunoglobulinI-setdomain	Insulin-likegrowthfactorbindingprotein	3	0.00014846340377097
HABP4_PAI-RBP1--IHABP4_N	HABP4_PAI-RBP1	IHABP4_N	Hyaluronan/mRNAbindingfamily	Intracellularhyaluronan-bindingprotein4N-terminal	2	9.89756025139803e-05
IL17R_fnIII_D1--IL17R_fnIII_D2	IL17R_fnIII_D1	IL17R_fnIII_D2	Interleukin-17receptor,fibronectin-III-likedomain1	Interleukin17receptorD	2	9.89756025139803e-05
IL1--IL1_propep	IL1	IL1_propep	Interleukin-1/18	Interleukin-1propeptide	2	9.89756025139803e-05
fn3--IL6Ra-bind	fn3	IL6Ra-bind	FibronectintypeIIIdomain	Interleukin-6receptoralphachain,binding	3	0.00014846340377097
ig--IL6Ra-bind	ig	IL6Ra-bind	Immunoglobulindomain	Interleukin-6receptoralphachain,binding	1	4.94878012569901e-05
IL7--IL7	IL7	IL7	Interleukin7/9family	Interleukin7/9family	1	4.94878012569901e-05
G8--ILEI	G8	ILEI	G8domain	Interleukin-likeEMTinducer	2	9.89756025139803e-05
GNT-I--ILEI	GNT-I	ILEI	GNT-Ifamily	Interleukin-likeEMTinducer	1	4.94878012569901e-05
ILEI--ILEI	ILEI	ILEI	Interleukin-likeEMTinducer	Interleukin-likeEMTinducer	2	9.89756025139803e-05
DEP--IML1	DEP	IML1	DomainfoundinDishevelled,Egl-10,andPleckstrin(DEP)	Vacuolarmembrane-associatedproteinIml1	1	4.94878012569901e-05
CBS--IMPDH	CBS	IMPDH	CBSdomain	IMPdehydrogenase/GMPreductasedomain	2	9.89756025139803e-05
IMPDH--IMPDH	IMPDH	IMPDH	IMPdehydrogenase/GMPreductasedomain	IMPdehydrogenase/GMPreductasedomain	2	9.89756025139803e-05
BRCT_2--IMS	BRCT_2	IMS	BRCTdomain,aBRCA1C-terminusdomain	impB/mucB/samBfamily	1	4.94878012569901e-05
BRCT_2--IMS_C	BRCT_2	IMS_C	BRCTdomain,aBRCA1C-terminusdomain	impB/mucB/samBfamilyC-terminaldomain	1	4.94878012569901e-05
IMS--IMS_C	IMS	IMS_C	impB/mucB/samBfamily	impB/mucB/samBfamilyC-terminaldomain	4	0.000197951205027961
IMS--IMS_HHH	IMS	IMS_HHH	impB/mucB/samBfamily	IMSfamilyHHHmotif	1	4.94878012569901e-05
IMS_C--IMS_HHH	IMS_C	IMS_HHH	impB/mucB/samBfamilyC-terminaldomain	IMSfamilyHHHmotif	1	4.94878012569901e-05
INCENP_ARK-bind--INCENP_N	INCENP_ARK-bind	INCENP_N	Innercentromereprotein,ARKbindingregion	Chromosomepassengercomplex(CPC)proteinINCENPNterminal	1	4.94878012569901e-05
Exo_endo_phos--INPP5B_PH	Exo_endo_phos	INPP5B_PH	Endonuclease/Exonuclease/phosphatasefamily	TypeIIinositol1,4,5-trisphosphate5-phosphatasePHdomain	1	4.94878012569901e-05
C2--INTAP	C2	INTAP	C2domain	IntersectinandclathrinadaptorAP2bindingregion	1	4.94878012569901e-05
EF-hand_4--INTAP	EF-hand_4	INTAP	Cytoskeletal-regulatorycomplexEFhand	IntersectinandclathrinadaptorAP2bindingregion	1	4.94878012569901e-05
INTS5_C--INTS5_N	INTS5_C	INTS5_N	Integratorcomplexsubunit5C-terminus	Integratorcomplexsubunit5N-terminus	1	4.94878012569901e-05
IPP-2--IPP-2	IPP-2	IPP-2	Proteinphosphataseinhibitor2(IPP-2)	Proteinphosphataseinhibitor2(IPP-2)	1	4.94878012569901e-05
DDHD--IP_trans	DDHD	IP_trans	DDHDdomain	Phosphatidylinositoltransferprotein	2	9.89756025139803e-05
AAA--IQ	AAA	IQ	ATPasefamilyassociatedwithvariouscellularactivities(AAA)	IQcalmodulin-bindingmotif	1	4.94878012569901e-05
ASH--IQ	ASH	IQ	Abnormalspindle-likemicrocephaly-assoc'd,ASPM-SPD-2-Hydin	IQcalmodulin-bindingmotif	1	4.94878012569901e-05
Ank--IQ	Ank	IQ	Ankyrinrepeat	IQcalmodulin-bindingmotif	1	4.94878012569901e-05
Ank_2--IQ	Ank_2	IQ	Ankyrinrepeats(3copies)	IQcalmodulin-bindingmotif	1	4.94878012569901e-05
CG-1--IQ	CG-1	IQ	CG-1domain	IQcalmodulin-bindingmotif	1	4.94878012569901e-05
CH--IQ	CH	IQ	Calponinhomology(CH)domain	IQcalmodulin-bindingmotif	4	0.000197951205027961
DIL--IQ	DIL	IQ	DILdomain	IQcalmodulin-bindingmotif	3	0.00014846340377097
EF-hand_7--IQ	EF-hand_7	IQ	EF-handdomainpair	IQcalmodulin-bindingmotif	1	4.94878012569901e-05
FERM_M--IQ	FERM_M	IQ	FERMcentraldomain	IQcalmodulin-bindingmotif	4	0.000197951205027961
HECT--IQ	HECT	IQ	HECT-domain(ubiquitin-transferase)	IQcalmodulin-bindingmotif	1	4.94878012569901e-05
I-set--IQ	I-set	IQ	ImmunoglobulinI-setdomain	IQcalmodulin-bindingmotif	1	4.94878012569901e-05
IQ--IQ	IQ	IQ	IQcalmodulin-bindingmotif	IQcalmodulin-bindingmotif	27	0.00133617063393873
Ion_trans--IQ	Ion_trans	IQ	Iontransportprotein	IQcalmodulin-bindingmotif	1	4.94878012569901e-05
fn3--IQ	fn3	IQ	FibronectintypeIIIdomain	IQcalmodulin-bindingmotif	1	4.94878012569901e-05
IR1-M--IR1-M	IR1-M	IR1-M	Nup358/RanBP2E3ligasedomain	Nup358/RanBP2E3ligasedomain	1	4.94878012569901e-05
IRF--IRF-3	IRF	IRF-3	Interferonregulatoryfactortranscriptionfactor	Interferon-regulatoryfactor3	7	0.000346414608798931
IRK--IRK_N	IRK	IRK_N	Inwardrectifierpotassiumchanneltransmembranedomain	InwardrectifierpotassiumchannelN-terminal	3	0.00014846340377097
I-set--ISET-FN3_linker	I-set	ISET-FN3_linker	ImmunoglobulinI-setdomain	UnstructuredlinkingregionI-setandfnIIIonBrotherofCDO	1	4.94878012569901e-05
Ig_3--ISET-FN3_linker	Ig_3	ISET-FN3_linker	Immunoglobulindomain	UnstructuredlinkingregionI-setandfnIIIonBrotherofCDO	1	4.94878012569901e-05
fn3--ISET-FN3_linker	fn3	ISET-FN3_linker	FibronectintypeIIIdomain	UnstructuredlinkingregionI-setandfnIIIonBrotherofCDO	1	4.94878012569901e-05
ig--ISET-FN3_linker	ig	ISET-FN3_linker	Immunoglobulindomain	UnstructuredlinkingregionI-setandfnIIIonBrotherofCDO	1	4.94878012569901e-05
ITAM--ITAM	ITAM	ITAM	Immunoreceptortyrosine-basedactivationmotif	Immunoreceptortyrosine-basedactivationmotif	1	4.94878012569901e-05
Ig_4--ITAM	Ig_4	ITAM	T-cellsurfaceglycoproteinCD3deltachain	Immunoreceptortyrosine-basedactivationmotif	2	9.89756025139803e-05
Ig_5--ITAM	Ig_5	ITAM	Ig-likedomainonT-cellsurfaceglycoproteinCD3epsilonchain	Immunoreceptortyrosine-basedactivationmotif	1	4.94878012569901e-05
ig--ITAM	ig	ITAM	Immunoglobulindomain	Immunoreceptortyrosine-basedactivationmotif	1	4.94878012569901e-05
ANTH--I_LWEQ	ANTH	I_LWEQ	ANTHdomain	I/LWEQdomain	2	9.89756025139803e-05
FERM_M--I_LWEQ	FERM_M	I_LWEQ	FERMcentraldomain	I/LWEQdomain	2	9.89756025139803e-05
FERM_N--I_LWEQ	FERM_N	I_LWEQ	FERMN-terminaldomain	I/LWEQdomain	2	9.89756025139803e-05
FERM_f0--I_LWEQ	FERM_f0	I_LWEQ	N-terminalorF0domainofTalin-headFERM	I/LWEQdomain	2	9.89756025139803e-05
HIP1_clath_bdg--I_LWEQ	HIP1_clath_bdg	I_LWEQ	Clathrin-bindingdomainofHuntingtin-interactingprotein1	I/LWEQdomain	2	9.89756025139803e-05
I_LWEQ--I_LWEQ	I_LWEQ	I_LWEQ	I/LWEQdomain	I/LWEQdomain	1	4.94878012569901e-05
C2-set_2--Ig_2	C2-set_2	Ig_2	CD80-likeC2-setimmunoglobulindomain	Immunoglobulindomain	4	0.000197951205027961
EGF--Ig_2	EGF	Ig_2	EGF-likedomain	Immunoglobulindomain	1	4.94878012569901e-05
I-set--Ig_2	I-set	Ig_2	ImmunoglobulinI-setdomain	Immunoglobulindomain	6	0.000296926807541941
ICAM_N--Ig_2	ICAM_N	Ig_2	Intercellularadhesionmolecule(ICAM),N-terminaldomain	Immunoglobulindomain	1	4.94878012569901e-05
Ig_2--Ig_2	Ig_2	Ig_2	Immunoglobulindomain	Immunoglobulindomain	26	0.00128668283268174
fn3--Ig_2	fn3	Ig_2	FibronectintypeIIIdomain	Immunoglobulindomain	2	9.89756025139803e-05
ig--Ig_2	ig	Ig_2	Immunoglobulindomain	Immunoglobulindomain	15	0.000742317018854852
7tm_2--Ig_3	7tm_2	Ig_3	7transmembranereceptor(Secretinfamily)	Immunoglobulindomain	1	4.94878012569901e-05
ADAM_spacer1--Ig_3	ADAM_spacer1	Ig_3	ADAM-TSSpacer1	Immunoglobulindomain	1	4.94878012569901e-05
An_peroxidase--Ig_3	An_peroxidase	Ig_3	Animalhaemperoxidase	Immunoglobulindomain	1	4.94878012569901e-05
Bravo_FIGEY--Ig_3	Bravo_FIGEY	Ig_3	Bravo-likeintracellularregion	Immunoglobulindomain	4	0.000197951205027961
C2-set--Ig_3	C2-set	Ig_3	ImmunoglobulinC2-setdomain	Immunoglobulindomain	1	4.94878012569901e-05
C2-set_2--Ig_3	C2-set_2	Ig_3	CD80-likeC2-setimmunoglobulindomain	Immunoglobulindomain	15	0.000742317018854852
CarboxypepD_reg--Ig_3	CarboxypepD_reg	Ig_3	Carboxypeptidaseregulatory-likedomain	Immunoglobulindomain	1	4.94878012569901e-05
EGF--Ig_3	EGF	Ig_3	EGF-likedomain	Immunoglobulindomain	1	4.94878012569901e-05
EGF_CA--Ig_3	EGF_CA	Ig_3	Calcium-bindingEGFdomain	Immunoglobulindomain	2	9.89756025139803e-05
Fz--Ig_3	Fz	Ig_3	Fzdomain	Immunoglobulindomain	1	4.94878012569901e-05
G2F--Ig_3	G2F	Ig_3	G2Fdomain	Immunoglobulindomain	2	9.89756025139803e-05
GPS--Ig_3	GPS	Ig_3	GPCRproteolysissite,GPS,motif	Immunoglobulindomain	1	4.94878012569901e-05
I-set--Ig_3	I-set	Ig_3	ImmunoglobulinI-setdomain	Immunoglobulindomain	61	0.0030187558766764
ICAM_N--Ig_3	ICAM_N	Ig_3	Intercellularadhesionmolecule(ICAM),N-terminaldomain	Immunoglobulindomain	1	4.94878012569901e-05
Ig_2--Ig_3	Ig_2	Ig_3	Immunoglobulindomain	Immunoglobulindomain	24	0.00118770723016776
Ig_3--Ig_3	Ig_3	Ig_3	Immunoglobulindomain	Immunoglobulindomain	50	0.00247439006284951
cEGF--Ig_3	cEGF	Ig_3	ComplementClr-likeEGF-like	Immunoglobulindomain	2	9.89756025139803e-05
fn3--Ig_3	fn3	Ig_3	FibronectintypeIIIdomain	Immunoglobulindomain	33	0.00163309744148067
ig--Ig_3	ig	Ig_3	Immunoglobulindomain	Immunoglobulindomain	16	0.000791804820111842
fn3--Ig_Tie2_1	fn3	Ig_Tie2_1	FibronectintypeIIIdomain	Tie-2Ig-likedomain1	1	4.94878012569901e-05
DUF2448--Ima1_N	DUF2448	Ima1_N	ProteinofunknownfunctionC-terminus(DUF2448)	Ima1N-terminaldomain	1	4.94878012569901e-05
GTPase_binding--Inhibitor_Mig-6	GTPase_binding	Inhibitor_Mig-6	GTPasebinding	EGFRreceptorinhibitorMig-6	1	4.94878012569901e-05
EF-hand_8--Ins145_P3_rec	EF-hand_8	Ins145_P3_rec	EF-handdomainpair	Inositol1,4,5-trisphosphate/ryanodinereceptor	2	9.89756025139803e-05
IGF2_C--Insulin	IGF2_C	Insulin	Insulin-likegrowthfactorIIE-peptide	Insulin/IGF/Relaxinfamily	1	4.94878012569901e-05
Insulin--Insulin	Insulin	Insulin	Insulin/IGF/Relaxinfamily	Insulin/IGF/Relaxinfamily	2	9.89756025139803e-05
Calx-beta--Integrin_B_tail	Calx-beta	Integrin_B_tail	Calx-betadomain	Integrinbetataildomain	1	4.94878012569901e-05
EGF_2--Integrin_B_tail	EGF_2	Integrin_B_tail	EGF-likedomain	Integrinbetataildomain	5	0.000247439006284951
Integrin_b_cyt--Integrin_B_tail	Integrin_b_cyt	Integrin_B_tail	Integrinbetacytoplasmicdomain	Integrinbetataildomain	6	0.000296926807541941
fn3--Integrin_B_tail	fn3	Integrin_B_tail	FibronectintypeIIIdomain	Integrinbetataildomain	1	4.94878012569901e-05
